_id;_isbn;_title;_description
126980;9780387768939;Collaborative Medicine Case Studies;Collaborative Medicine Case Studies Evidence in Practice  Edited by Rodger Kessler and Dale Stafford, Berlin Family Health, Montpelier, Vermont and Department of Family Medicine University of Vermont College of Medicine    Just as the mind and body collaborate in maintaining one’s health, collaboration between primary and behavioral health care can bring patients more efficacious treatment and better long-term results, from better compliance with or less dependence on medication to more effective use of health care services.   Collaborative Medicine Case Studies shows physicians and mental health practitioners working together across a variety of settings to assess and treat entrenched illnesses, combined physical and psychological conditions (back pain/panic attacks, diabetes/bipolar disorder), and cases that defy straightforward diagnosis. At the same time, the cases reflect the economic and financial realities of contemporary health care.   The cases discussed generate creative solutions using different levels of collaboration depending on patient need and site variables, but all share important similarities: close communication, careful follow-up by physician and behavioral health collaborators, and patients who would not have been treated as effectively without collaborative care. Blending research evidence, clinical insight, welcome humor, and realistic optimism, these cases demonstrate impressive successes, instructive setbacks, and comparative viewpoints while shedding light on the logistical, financial, and training challenges of integrative practice.  A sampling of the three dozen cases:   The head and the brain: migraines, orofacial pain, tinnitus.   Comorbid PTSD and persistent pain.   Individuals and couples with complex medical/emotional problems.   Chronic illnesses: obesity, spina bifida, cardiovascular disease.   A Hmong woman’s post-immigration depression.    A physician with anorexia   Burn patients who keep coming back without treatment success.   Collaborative Medicine Case Studies is a blueprint for a vanguard in care, not only for physicians and psychologists but also for professionals and graduate students in health psychology and health care administration and finance.
119670;9780387721712;Cultural Competence in Health Care;Cultural Competence in Health Care A Guide for Professionals  Wen-Shing Tseng, University of Hawaii, Honolulu Jon Streltzer, University of Hawaii, Honolulu  Between a growing pan-ethnic patient base, the need to solve inequalities of care, and the clinical desirability of viewing clients in their entirety, applied cultural knowledge is emerging as a major goal of clinical and public health practice. Cultural Competence in Health Care offers a wealth of this crucial knowledge with emphasis on day-to-day clinical work. Authors Tseng and Streltzer, well-known experts on transcultural medicine and therapy, start by differentiating between disease and illness and advise on a range of practical matters, from discussing culturally sensitive subjects to negotiating compromises between traditional healing and established medicine, so that readers will gain both useful working techniques and valuable empathy with clients. Case studies highlight medical issues as they apply to various minority (and majority) groups, and eight insightful chapters reveal cultural dimensions expressed in:     Concepts of illness and illness behaviors.   Assessment, interviews, and symptom presentation.   Hospitalization, medication, family involvement, consent issues.   Highly charged medical areas, e.g., pain management, transfusions, reproductive issues, organ donation.   Frequently stigmatized conditions such as AIDS, STDs, cancer, and psychiatric disorders.   Care by non-medical professionals, including social workers, physical therapists, and nutritionists.   Cultural Competence in Health Care is equally suited to use by practitioners and students in medicine, psychology, nursing, social work, and affiliated fields. And since it’s one of the only practice-oriented books on the topic, cross-cultural courses in training programs will find it especially useful.
119675;9781441940940;Linear Optimization Problems with Inexact Data;Linear programming attracted the interest of mathematicians during and after World War II when the first computers were constructed and methods for solving large linear programming problems were sought in connection with specific practical problems—for example, providing logistical support for the U.S. Armed Forces or modeling national economies. Early attempts to apply linear programming methods to solve practical problems failed to satisfy expectations. There were various reasons for the failure. One of them, which is the central topic of this book, was the inexactness of the data used to create the models. This phenomenon, inherent in most pratical problems, has been dealt with in several ways. At first, linear programming models used  average” values of inherently vague coefficients, but the optimal solutions of these models were not always optimal for the original problem itself. Later researchers developed the stochastic linear programming approach, but this too has its limitations. Recently, interest has been given to linear programming problems with data given as intervals, convex sets and/or fuzzy sets. The individual results of these studies have been promising, but the literature has not presented a unified theory. Linear Optimization Problems with Inexact Data attempts to present a comprehensive treatment of linear optimization with inexact data, summarizing existing results and presenting new ones within a unifying framework. Audience This book is intended for postgraduate or graduate students in the areas of operations research, optimization theory, linear algebra, interval analysis, reliable computing, and fuzzy sets. The book will also be useful for researchers in these respective areas.
107214;9781441952592;Americanization of the European Economy;One of the main features of the world economy since the late nineteenth century has been the growing dominance of the American economy in both quantitative and qualitative terms. Aspects of this development - e.g. rationalization or the world-wide diffusion of Coca-Cola - have been researched, but largely in isolation. Americanization of the European Economy provides a comprehensive yet compact survey of the growth of American economic influence in Europe since the 1880s. Three distinct but cumulative waves of Americanization are identified. Americanization was (and still is) a complex process of technological, political, and cultural transfer, and this overview explains why and how the USA and the American model of industrial capitalism came to be accepted as the dominant paradigm of political economy in today's Europe. Americanization of the European Economy summarizes the ongoing discussion by business historians, sociologists, and political scientists and makes it accessible to all types of readers who are interested in political and economic development.
107125;9781441937834;Orthopoxviruses Pathogenic for Humans;Orthopoxviruses Pathogenic for Humans covers those viruses capable of causing disease in man, including monkeypox, smallpox, cowpox, and vaccinia. The coverage of each virus is comprehensive, covering the biology, molecular biology, and ecology of the virus as well as the clinical and epidemiological aspects of these viruses in humans and animals. In addition, this volume highlights developments in genetic engineering that are paving the way for potential therapeutic treatments of these viruses.
107579;9781441935847;Quality of Telephone-Based Spoken Dialogue Systems;Quality of Telephone-Based Spoken Dialogue Systems is a systematic overview of assessment, evaluation, and prediction methods for the quality of services such as travel and touristic information, phone-directory and messaging, or telephone-banking services. A new taxonomy of quality-of-service is presented which serves as a tool for classifying assessment and evaluation methods, for planning and interpreting evaluation experiments, and for estimating quality. A broad overview of parameters and evaluation methods is given, both on a system-component level and for a fully integrated system. Three experimental investigations illustrate the relationships between system characteristics and perceived quality. The resulting information is needed in all phases of system specification, design, implementation, and operation.  Although Quality of Telephone-Based Spoken Dialogue Systems is written from the perspective of an engineer in telecommunications, it is an invaluable source of information for professionals in signal processing, communication acoustics, computational linguistics, speech and language sciences, human factor design and ergonomics.
107593;9780387321813;Chassin's Operative Strategy in Esophageal Surgery;Chassin’s Operative Strategies in Esophageal Surgery offers the reader a succinct review of surgical techniques for disorders of the esophagus. Spanning from well-established legacy procedures to the most up-to-date minimally invasive approaches for GERD, this brilliantly illustrated atlas exclusively presents the theoretical basis of the operations as well as the strategies required to steer clear of common pitfalls. Educed from Chassin’s Operative Strategies in General Surgery, this volume includes step-by-step descriptions of thirteen (13) operative procedures in esophageal surgery.
107606;9780387253985;Proteomics of Spermatogenesis;Recent developments of experimental techniques in cellular and molecular biology have made it possible to understand the molecular biology of male gametogenesis in greater detail. This book focuses on the description of specialized proteins, which are dominantly and/or specifically expressed in germ cells and localized in spermatozoa. There is an urgent need to classify proteins of spermatogenic cells with a view of their functions, and their applications in the regulation of fertility and in understanding infertility. The understanding of structural properties of male germ cell specific proteins can offer vulnerable points for targeted intervention in testis without generalized effects on stages of spermatogenesis. Besides targeted action in male germ cells, sperm specific proteins and polypeptides may also offer potential application in the development of a contraceptive vaccine.  Researchers in the fields of biochemistry, cell biology, molecular biology, reproductive biology and proteomics will find this book of interest.         This book is far superior to any previous book on the subject. I recommend this book with great enthusiasm.   Pawan K. Singal St. Boniface General Hospital Research Center    
107411;9781489987235;Pediatric Gastrointestinal Disorders;A child presents with weight loss, fatigue, and stomach pain. Is the diagnosis psychological, as in an eating disorder? Might it be medical, as in a GI disorder? Could it be both? A young adolescent is assessed to have a gastrointestinal disorder. Do you take puberty into account when planning treatment? Complex overlapping of physical and psychological symptoms is a hallmark of cases such as these—and a major factor in making diagnosis and intervention difficult. In Pediatric Gastrointestinal Disorders:Biopsychosocial Assessment and Treatment, authors Cunningham and Banez pool their considerable expertise to give practitioners working with children a state-of-the-art, biopsychosocial grounding in this challenging area of practice: -In-depth overview of pediatric gastrointestinal disorders, their prevalence and etiology   -Descriptions of the most common disorders (including irritable bowel syndrome, recurring abdominal pain, rumination disorder, and fecal incontinence), with their typical psychological and behavioral symptoms  -Conceptual and theoretical perspectives informing the authors’ biopsychosocial approach  -Reviews of empirically-based, clinically sound assessment and treatment strategies  -Case studies applying this knowledge in real-world detail, demonstrating collaborations between clinicians, patients, and families. Its lucid presentation, level of detail, and commitment to integrative care make Assessment and Treatment of Gastrointestinal Disorders in Children an important resource for children’s practitioners in both the medical and mental health fields. By featuring examples ranging from toddlers to teens, the authors have modeled a continuum of developmentally appropriate treatment.
137057;9781617378829;Evidence-Based Medical Ethics:;In the modern practice of medicine, new challenges complicate the ethical care of patients. Today’s times require a contemporary take on the concept of medical ethics. The idea for this textbook was born out of a need for a teaching resource that merges medical ethics theory with the practical needs of modern clinical medicine. In Evidence-Based Medical Ethics: Cases for Practice-Based Learning, the authors address what has been missing in existing text books and ethics courses to date – clear-cut ethical and legal guidelines that provide a method for the reader to learn how to systematically manage dilemmas seen in the everyday practice of medicine. The reader is guided through several  typical  patient scenarios and prompted by various questions that should be entertained by the treating health care provider. Then, relevant evidence-based medicine, legal precedent, and the ethical theory that applies to the situation are revealed. Often, finding the  best  ethical solution for each problem is automatic, as the solution often becomes self-evident during information-gathering. This general method is reinforced throughout the text with multiple different cases, using a practice-based approach by building on the reader’s developing skills. Additionally, we have sought to emphasize a culturally competent manner in resolving these dilemmas, respectfully addressing issues of age, gender, and culture whenever possible. The main goal of Evidence-Based Medical Ethics: Cases for Practice-Bases Learning is to assist the reader in adapting a patient-centered and evidence-based approach to dilemmas faced in their future practice of medicine.
140118;9780387094304;The Unreal Life of Oscar Zariski;Oscar Zariski's work in mathematics permanently altered the foundations of algebraic geometry. The powerful tools he forged from the ideas of modern algebra allowed him to penetrate classical problems with an unaccustomed depth, and brought new rigor to the intuitive proofs of the Italian School. The students he trained at John Hopkins, and later at Harvard, are among the foremost mathematicians of our time.   While what he called his  real life  is recorded in almost a hundred books and papers, this story of his  unreal life  is based upon Parikh's interviews with his family, colleagues, and students, and on his own memories from a series of tape-recorded interviews made a few years before his death in 1986.   First published in 1991, The Unreal Life of Oscar Zariski was highly successful and widely praised, but has been out of print for many years. Springer is proud to make this book available again, introducing Oscar Zariski to a new generation of mathematicians.   About this book:    I want to express my appreciation to you for having penetrated so deeply into the many-faceted aspects of a complex and mercurial life.    - Yole Zariski, Oscar Zariski's wife    ...an attractive book that recreates one of the great mathematical personalities of our century. Both mathematicians and nonspecialists will enjoy it.    - Doru Stefanescu, Mathematical Reviews    Carol Parikh's perceptive narrative of the life of Oscar Zariski, the man, is based on his own recollections tape recorded a few years before his death, and on the author's extensive interviews with his family, colleagues, and students. Here we learn of his birth in a Jewish settlement in eastern Poland, high school in Russia, university in Rome, and maturity in the United States...We see his development as a mathematician in the context of the people around him. We see his humanity in his love for his family and the care he devoted to his students...All this and more in Carol Parikh's prize-winning English prose make this book a delight to read.     - Robin Hartshorne, American Mathematical Monthly
161258;9781441960436;Essentials of Anatomic Pathology;In the 8 years since the publication of the first edition of Essentials of Anatomic Pathology, great strides have been made in our understanding of diseases and neoplastic processes. Many clinically important new histopathologic entities have been described or more fully defined in virtually every organ. Numerous clinically important diagnostic and prognostic markers have entered routine practice. Genetic testing for the early detection of cancers and the molecular classification of diseases has become increasingly important. This is an age of enlightenment in surgical pathology, and the authors of this new volume have captured this sense of excitement herein. This much praised and widely used reference manual has been extensively revised and expanded to cover the entire field of anatomic pathology. The Third Edition features the incorporation of full-color images in the text with updates of new diagnostic and prognostic information. New classifications and numerous new entities and histologic variants are fully explored. Useful immunostaining biomarkers and emerging molecular targets and relevant molecular findings that have emerged from recent genomic studies are incorporated in each chapter. Written by internationally recognized authorities, the comprehensive, evidence-based practice information is presented in an outline format that is clear and easy to follow. Up-to-date and richly detailed, Essentials of Anatomic Pathology, Third Edition offers both the pathologist-in-training and the practicing pathologist a concise summary of all the critical information needed to recognize, understand and interpret anatomic pathology.
160729;9781441977779;Evidence-Based Imaging;Evidence-Based Imaging: Quality Imaging in Patient Care, Revised Edition presents the radiologist and clinician with a user-friendly guide to the evidence-based science and the merit behind the diagnostic imaging performed in medicine. Edited by Drs. L. Santiago Medina, C. Craig Blackmore, and Kimberly E. Applegate, this ideal reference gathers contributions by internationally-renowned specialists in the field. The book provides a systematic framework for understanding the best imaging choices for patient care. Chapters highlight key points that support the clinical applications, allowing fast access to pertinent information. Topics include patient selection, imaging strategies, test performance, cost-effectiveness, and applicability. This Revised Edition adds ten new chapters to the material from the original, hardcover edition, covering radiation risk in medical imaging, the economic and regulatory impact of evidence-based imaging in the new healthcare reform environment in the United States, and new topics on common disorders. By offering a clear understanding of the science behind the evidence, the book fills a void for radiologists, clinicians, residents, and others with an interest in medical imaging and a desire to implement an evidence-based approach.
159828;9781441977649;Maximum Dissipation Non-Equilibrium Thermodynamics and its Geometric Structure;Maximum Dissipation Non-Equilibrium Thermodynamics and its Geometric Structure explores the thermodynamics of non-equilibrium processes in materials. The book develops a general technique to construct nonlinear evolution equations describing non-equilibrium processes, while also developing a geometric context for non-equilibrium thermodynamics. Solid materials are the main focus in this volume, but the construction is shown to also apply to fluids. This volume also:   •             Explains the theory behind a thermodynamically-consistent construction of non-linear evolution equations for non-equilibrium processes, based on supplementing the second law with a maximum dissipation criterion •             Provides a geometric setting for non-equilibrium thermodynamics in differential topology and, in particular, contact structures that generalize Gibbs •            Models processes that include thermoviscoelasticity, thermoviscoplasticity, thermoelectricity and dynamic fracture •            Recovers several standard time-dependent constitutive models as maximum dissipation processes •            Produces transport models that predict finite velocity of propagation •            Emphasizes applications to the time-dependent modeling of soft biological tissue Maximum Dissipation Non-Equilibrium Thermodynamics and its Geometric Structure will be valuable for researchers, engineers and graduate students in non-equilibrium thermodynamics and the mathematical modeling of material behavior.
160969;9780387928517;Handbook of Critical and Intensive Care Medicine;The Handbook of Critical and Intensive Care Medicine, second edition, is a comprehensive, user-friendly guide for students, residents, fellows, and attending physicians who cover the ICU. The book's concise and up-to-date information includes frequently performed procedures and therapeutic guidelines that have great efficacy and relevance in everyday ICU rotations. For ease of reference, the chapters follow an outline format and are divided by organ systems as well as by special topics such as trauma and toxicology. Whether used bedside, in the office, at home, or on the go, the Handbook is truly a one-stop reference for all your ICU needs.
161532;9781461404361;Brain, Mind and Consciousness;Neuropsychological research on the neural basis of behavior generally asserts that brain mechanisms ultimately suffice to explain all psychologically described phenomena. This assumption stems from the idea that the brain consists entirely of material particles and fields, and that all causal mechanisms relevant to neuroscience can be formulated solely in terms of properties of these elements. Contemporary basic physical theory differs from classic physics on the important matter of how consciousness of human agents enters into the structure of empirical phenomena. The new principles contradict the older idea that local mechanical processes alone account for the structure of all empirical data. Contemporary physical theory brings directly into the overall causal structure certain psychologically described choices made by human agents about how they will act. This key development in basic physical theory is applicable to neuroscience. Brain, Mind and Consciousness: Advances in Neuroscience Research explores this new framework.
161493;9781461401704;Perioperative Addiction;Perioperative Addiction addresses an issue that every anesthesiologist will encounter many times during the course of his or her career:  the patient who arrives for operative care under the influence of legal or illegal drugs.  The editors and contributors provide expert guidance on how to identify and manage the addicted patient, approaching the subject from the vantage points of the specific drug and of special patient populations.  Features:  ·         Guidance for spotting and managing addicted patients·         All common and important drugs of addiction, from opioids, cocaine, club drugs, and alcohol, to tobacco, marijuana, nitrous oxide, inhalants, and propofol·         Special populations, including pregnant women, pain patients, adolescents, older patients, and healthcare professionals ·         Fascinating overview of the long history of addiction·         Genetic basis of addiction, and the range of pharmacological treatments for addiction  
127320;9780387736068;Health Services Marketing;For today’s health care professional, clinical expertise is not enough—one has to know the market. Even when a facility has its own marketing department, practitioners are regularly called on for their input. Health Services Marketing: A Practitioner’s Guide clearly and succinctly explains the range of marketing activities and techniques, from promotions to pricing, so any health professional can learn to navigate this bewildering but increasingly important aspect of healthcare. Richard Thomas’ step-by-step guide for developing a marketing plan and carrying out a successful campaign offers a hands-on approach to proven methods for staying a step ahead of the healthcare marketing game:    The health industry as seen from the marketing perspective.   Healthcare products, and the consumers who need them.   What marketing can (and can’t) do for a medical practice.   Demographics and beyond: how social marketing works.   Where your marketing dollar goes: staying on budget.    Market positioning: knowing the competition, building the strategy.   Evaluating a marketing plan’s effectiveness.   Plus dozens of forms, checklists, and questionnaires to simplify the process.   Useful to practitioners and administrators alike, and equally suited to the for-profit as to the non-profit organization, Health Services Marketing gives the reader valuable tools to reach out to consumers and build lasting relationships. 
103748;9781461352297;High Resolution Focused Ion Beams: FIB and its Applications;In this book, we have attempted to produce a reference on high resolution focused ion beams (FIBs) that will be useful for both the user and the designer of FIB instrumentation. We have included a mix of theory and applications that seemed most useful to us. The field of FIBs has advanced rapidly since the application of the first field emission ion sources in the early 1970s. The development of the liquid metal ion source (LMIS) in the late 1960s and early 1970s and its application for FIBs in the late 1970s have resulted in a powerful tool for research and for industry. There have been hundreds of papers written on many aspects of LMIS and FIBs, and a useful and informative book on these subjects was published in 1991 by Phil Prewett and Grame Mair. Because there have been so many new applications and uses found for FIBs in the last ten years we felt that it was time for another book on the subject. 
103077;9781461350231;Global Mobile Satellite Systems;Global Mobile Satellite Systems - A Systems Overview makes mobile satellite communications understandable for communication engineers, candidates for an engineering degree, technicians, managers, and other decision makers such as financiers and regulators. It provides a systems oriented top-level view of mobile satellite communications. In particular, it focuses on Global Mobile Satellite Systems (GMSS) including active programs such as Globalstar, IRIDIUM, ORBCOMM, ACeS, and Thuraya, or so-called the second generation mobile satellite systems class. The authors start with a brief description of three generations of satellite systems in use or planned in the telecommunications industry. Selected systems architectural trades are identified and explained to illustrate how various GMSS systems are formulated, developed and evaluated. It includes an examination of market demand trends, business trades, regulatory issues as well as technical considerations. Major issues are examined in trade study style to provide easy access to key information. Key systems drivers such as orbit trades between LEO's, MEO's, and GEO's, frequency, protocols, customer bases, and regulatory and engineering issues are included. This book should appeal to individuals interested in the basic elements of Global Mobile Satellite Systems. 
95821;9781461560531;Plant-microbe Interactions 2;Plant-Microbe Interactions, Volume 2 Volume 1 of this series has made its appearance and dealt forcefully with impor­ tant current topics in the field of plant-microbe interactions. We believe that the quality of those chapters was high and should serve as a focal point for the state of the art as well as an enduring reference. Volume 2 builds upon these accom­ plishments. Chapter 1 discusses the fascinating lipo-chitin signal molecules from Rhizo­ bium, aspects regarding their biosynthesis, and the basis for host specificity. These molecules are a cardinal example of how microorganisms influence plant development and stimulate speculation that they have identified a previously un­ known aspect of plant hormone activity. Chapter 2 continues the discussion of Rhizobium by considering the trafficking of carbon and nitrogen in nodules. Al­ though the ostensible advantage of nodules to plants is the fixation of atmos­ pheric nitrogen, the actual process involved in supplying reduced nitrogen to the plant host is complex.
103313;9780306466717;Signal Transduction in Plants;An understanding of the mechanisms by which plants perceive environmental cues, both physical and chemical, and transduce the signals that influence specific expression of genes, is an area of intensive scientific research. With the completion of the genome sequence of Arabidopsis it is understood now that a larger number of genes encode for proteins involved in signalling cascades and transcription factors. In this volume, different chapters deal with plant receptors, second messengers like calcium ions, phosphoinositides, salicylic acid and nitrous oxide, calcium binding proteins and kinases. In addition to dealing with the response of plants to light, hormones, pathogens, heat, etc. on cellular activity, work currently going on in apoptosis, cell division, and plastid gene expression is also covered in this book.
97156;9780306411410;Thin Film Solar Cells; You, 0 Sun, are the eye of the world You are the soul of all embodied beings You are the source of all creatures You are the discipline of all engaged in work  - Translated from Mahabharata 3rd Century BC Today, energy is the lifeline and status symbol of  civilized  societies. All nations have therefore embarked upon Research and Development pro­ grams of varying magnitudes to explore and effectively utilize renewable sources of energy. Albeit a low-grade energy with large temporal and spatial variations, solar energy is abundant, cheap, clean, and renewable, and thus presents a very attractive alternative source. The direct conver­ sion of solar energy to electricity (photovoltaic effect) via devices called solar cells has already become an established frontier area of science and technology. Born out of necessity for remote area applications, the first commercially manufactured solar cells - single-crystal silicon and thin film CdS/Cu2S - were available well over 20 years ago. Indeed, all space vehicles today are powered by silicon solar cells. But large-scale terrestrial applications of solar cells still await major breakthroughs in terms of discovering new and radical concepts in solar cell device structures, utilizing relatively more abundant, cheap, and even exotic materials, and inventing simpler and less energy intensive fabrication processes. No doubt, this extraordinary challenge in R/D has led to a virtual explosion of activities in the field of photovoltaics in the last several years.
103368;9781461346685;Accretion of Extraterrestrial Matter Throughout Earth’s History;Every year Earth is bombarded with about 40,000 tons of extraterrestrial material. This includes microscopic cosmic dust particles shed by comets and asteroids in outer space, meteorites, as well as large comets and asteroids that have led to catastrophic events in the geologic past. Originally considered only a curiosity, extraterrestrial matter found on Earth provides the only samples we have from comets, asteroids and other planets. Only recently mankind has started to actively collect extraterrestrial matter in space (Apollo program, Stardust mission) rather than to wait for its delivery to Earth. Still, most of our knowledge of the origin and evolution of our solar system is based on careful studies of meteorites, cosmic dust, and traces of large impact events in the geologic record such as the mass extinction that terminated the Cretaceous Period and led to the extinction of the dinosaurs. This book summarizes our current knowledge of the properties, origin, orbital evolution and accretion mechanism of extraterrestrial matter accreted on Earth and sheds light on accretion processes and fluxes in the geologic past. The chapters in the first part of the book are arranged in order to follow extraterrestrial matter from its origin in space, its orbital evolution on its way to Earth, its interaction with the Earth magnetosphere and atmosphere to its more or less violent collision with the Earth's surface. In the second part of the book several chapters deal with the present?day flux of cosmic dust and meteorites to Earth. Finally, several chapters deal with the reconstruction of the accretion history of extraterrestrial matter on Earth, starting with the most recent geologic past and ending with the very early, violent accretion period shortly after the formation of Earth, Moon and other solid planets in our solar system.
103421;9781461513810;Estimating Abundance of African Wildlife;Estimating abundance of wildlife is an essential component of a wildlife research program, and a prerequisite for sound management. With the exception of a few highly mathematical volumes, there are no books on the subject for use by students and field workers. Also, the various techniques for counting animals found in scientific journals are often not accessible to African managers. The unavailability of the diverse literature necessitated the production of a textbook or field manual that covers the ground. The book compiles the most relevant techniques for counting African mammals, illustrated with many examples from the field. It provides guidelines for selecting the appropriate methodology for a range of conditions commonly found in the field, in terms of different animal species, habitat types, and management objectives.
102574;9781461505754;Landscape Erosion and Evolution Modeling;Landscapes are characterized by a wide variation, both spatially and temporally, of tolerance and response to natural processes and anthropogenic stress. These tolerances and responses can be analyzed through individual landscape parameters, such as soils, vegetation, water, etc., or holistically through ecosystem or watershed studies. However, such approaches are both time consuming and costly. Soil erosion and landscape evolution modeling provide a simulation environment in which both the short- and long-term consequences of land-use activities and alternative land use strategies can be compared and evaluated. Such models provide the foundation for the development of land management decision support systems.  Landscape Erosion and Evolution Modeling is a state-of-the-art, interdisciplinary volume addressing the broad theme of soil erosion and landscape evolution modeling from different philosophical and technical approaches, ranging from those developed from considerations of first-principle soil/water physics and mechanics to those developed empirically according to sets of behavioral or empirical rules deriving from field observations and measurements. The validation and calibration of models through field studies is also included.  This volume will be essential reading for researchers in earth, environmental and ecosystem sciences, hydrology, civil engineering, forestry, soil science, agriculture and climate change studies. In addition, it will have direct relevance to the public and private land management communities.
95737;9781489925077;Fundamentals of Superconductivity;The recent discovery of high-temperature superconductivity has resulted in a remarkable growth in the amount of research and the number of researchers working in this exciting field. Superconductivity is not a new phenomenon: in 1991 it will be 80 years old. Even though it was the newer discoveries which motivated us to write this book, the book itself is mainly a description of the fundamentals of the phenomenon. The book is written for a very broad audience, including students, engin­ eers, teachers, scientists, and others who are interested in learning about this exciting frontier of science. We have focused on the qualitative aspects, so that the reader can develop a basic understanding of the fundamental physics without getting bogged down in the details. Because of this approach, our list of refer­ ences is not comprehensive, and it is supplemented with a summary of additional reading consisting of monographs and selected review articles. (The articles we have referenced were either not reflected in the review articles on monographs or were milestones in the development of the field. ) In addition, some of the sections which can be skipped during the first reading have been marked with asterisks (*). Until recently, superconductivity was considered to belong to the field of low-temperature physics. This field was born, simultaneously with quantum physics, at the beginning of this century. Initially these two contemporaneous fields developed independently, but they soon became strongly coupled.
95193;9780306437304;Organic Superconductivity;This book contains papers presented at the International Conference on Organic Superconductivity which was held May 20-24, 1990, at the Stanford Sierra Conference Center, South Lake Tahoe, California. In the twenty years since the First Conference on Organic Superconductivity was held (Hawaii, 1969), there has been remarkable progress in the field. At present, development is accelerating with contributions from many groups in many countries worldwide. The discovery of high Tc superconductivity by G. Bednorz and K. Muller in 1986 and subsequent developments in the ceramic superconductors have had an enormous impact on the field of superconductivity as a whole. This discovery occurred in an area entirely different from that of conventional superconduc­ tivity, underscoring the importance of the search for and study of novel materials of all kinds. We believe that the organics, with their wide range of structural, chemical, and physical properties, belong in this category of novel materials. This book reflects the efforts of researchers from various disciplines: physicists, chemists, and materials scientists. It addresses the normal and superconducting properties of organic materials, as well as the search for new compounds and new syntheses. We are pleased to note that one of these papers reports on the discovery of a new organic superconductor with a record high Tc in this class. One chapter is devoted to a comparison of organic superconductors and the cuprates, another, to the prospects of discovering other novel conducting or superconducting compounds.
103123;9780834212589;Citrus Processing;Citrus juices are the most common among the fruit juices around the world and constitute a major portion of the food industry. Even though juice-processing technology has been around for many years, interest in historical and modem in­ novations and applications is widespread. New juice enterprises are springing up constantly all over the world. Old enterprises are constantly undergoing change, growth, and development. The Internet has expanded the reach of many, not only for information but for marketing and production alterations. The World Wide Web has made the wide world one. Computer technology alone is growing faster than the oranges on the trees. With these multifaceted changes, a need has emerged for an update to the first edition of Citrus Processing. The second edition of Citrus Processing has expanded its scope beyond the quality control theme of the first edition. I have used a more holistic approach to the subject of citrus processing. Those using this text in the classroom will find it more comprehensive in its treatment of the subject. The first edition targeted the industrial technologist. The second edition approaches citrus processing as a complete subject, assuming an audience interested in learning from the ground up. This new approach should be particularly appealing to those unfamiliar with the industry. Even so, experienced industrialists will find the information con­ tained here contemporary, futuristic, and fundamental.
71580;9783540422792;Damage Mechanics with Finite Elements;--------------------------------------------------------- This book presents recent research on damage mechanics with finite elements. Particular emphasis is laid on programming the finite element method to incorporate applications of da- mage mechanics. This textbook for graduates and researchers in civil, mechanical, aerospace engineering and materials science deals with the practical applications of damage mechanics, which have not appeared before in the literature. The book contains research on the separation of voids and cracks in continuum damage mechanics. An educational version of a finite element program for damage mechanics is included on a CD-ROM.
66764;9784431669173;Myopia Updates II;The incidence of myopia continues its rapid rise worldwide, and although the mechanism has not been fully clarified, there has been a significant increase in knowledge of the condition in recent years. Important questions about myopia are being posed by researchers across a broad spectrum of disciplinesfrom psychology to molecular biology, from corneal surgery to retinal physiology, and from genetics to experimental optics. The Seventh International Conference on Myopia, held in Taipei in November 1998, provided a forum for researchers and practitioners to make presentations and participate in discussions of their latest findings. Many doctors from Asian countries, where the incidence of myopia is particularly high, reported the results of their work. Myopia Updates II presents the latest information on epidemiology, risk factors, complications, experimentation, and treatment, and is a valuable resource for all who are interested in myopia and ocular growth.
67907;9783642621130;Advanced Monte Carlo for Radiation Physics, Particle Transport Simulation and Applications;This book focusses on the state of the art of Monte Carlo methods in radiation physics and particle transport simulation and applications, the latter involving in particular, the use and development of electron--gamma, neutron--gamma and hadronic codes. Besides the basic theory and the methods employed, special attention is paid to algorithm development for modeling, and the analysis of experiments and measurements in a variety of fields ranging from particle to medical physics.
67933;9781447104575;Systems Engineering for Business Process Change;A very large proportion of commercial and industrial concerns in the UK find their business competitiveness dependent on huge quantities of already installed, legacy IT. Often the nature of their business is such that, to remain competitive, they have to be able to change their business processes. Sometimes the required change is radical and revolutionary, but more often the required change is incremental. For such incremental change, a major systems engineering problem arises. The cost and delay involved in changing the installed IT to meet the changed business requirements is much too high. In order to address this issue the UK Engineering and Physical Science Research Council (EPSRC) set up, in 1996, a managed research programme entitled Systems Engineering for Business Process Change (SEBPC). I was appointed as co-ordinator of the programme. The overall aim of this new managed research programme was to release the full potential of IT as an enabler of business process change, and to overcome the disabling effects which the build-up of legacy systems has on such change. As such, this aim addressed a stated objective of the Information Technology and Computer Science (IT&CS) part of EPSRC to encourage research at a system level.
